2224	7492
2375	7516
2540	7600
1854	7723
3547	9336
137	7670
3961	8491
1696	9336
2708	8491
1076	7727
3425	10291
2685	9508
4136	9988
2183	8168
3367	7516
4316	8484
1438	8702
1771	7572
709	7505
1289	8506
1163	7485
1602	7981
183	7487
2539	7673
338	7505
3939	9935
2416	10598
3680	7545
1226	7807
265	8058
934	9297
3792	8219
1356	9167
1646	7545
75	7877
3446	9937
1897	7545
1162	8701
1763	9988
1462	7514
732	10013
1226	7804
2121	7651
1855	8216
2152	9065
2026	7579
3446	9935
352	9336
3374	7771
210	9400
3547	9336
738	8074
1897	8286
396	7873
2002	8390
2445	7850
1138	9491
1449	7799
2466	10077
4121	8166
1763	9987
1076	7545
396	7875
871	7545
403	8491
426	7796
2906	8506
1438	8702
1558	7721
2014	10412
487	9986
2955	8491
2864	8945
380	8702
158	7488
1849	7512
3909	8010
3446	9935
964	8682
34	7889
1872	10118
2685	10444
2053	9713
784	7569
3405	7727
958	7567
1281	7492
1033	7889
3588	10064
3588	10065
4136	9988
555	7653
1468	7982
3350	10307
793	7550
2024	8507
1289	8666
383	9986
1851	7929
2676	8945
2060	7487
2817	7505
3764	8506
2080	7718
303	8490
740	9927
2736	9712
2564	8506
3374	7769
1706	8609
570	9510
941	9335
416	7489
2736	10412
146	8029
552	8666
1645	7545
2359	7509
188	7623
3706	8795
1585	8599
48	7627
1932	8506
494	7718
2080	8491
549	7889
3350	9641
90	7701
2107	8506
3350	10309
14	7523
1932	9935
2726	8484
3961	8810
180	8702
451	8506
1398	7527
3283	8093
396	7873
1252	7734
1619	9616
2274	7673
181	8507
2053	10477
158	7487
3338	7654
510	7517
672	9910
1872	10115
202	8736
1634	7487
1869	7663
3446	9937
3807	8298
1416	7670
2916	9164
2107	8665
1696	9334
303	8491
1252	7733
1449	7796
2197	9517
4272	9233
3752	7804
981	7786
101	7517
3911	8167
3425	9334
1159	7505
1696	9336
2706	10292
3579	10622
1514	9714
3858	9162
793	10550
338	7967
1654	8097
1876	10307
2567	8345
1855	7663
2904	7840
3674	8682
2014	10444
1456	7516
3215	7889
1252	7735
1619	9619
529	10527
1550	7505
3845	8166
2223	10623
242	8666
646	9517
384	7516
1821	10477
3768	8852
1020	7770
3457	7512
1932	8506
1696	10095
340	8857
641	8166
4242	9986
900	7669
4316	8484
2649	9639
2359	7512
980	10444
3676	11077
3065	7509
570	10412
954	7579
2240	7796
1580	10062
1858	7641
2817	7507
2938	7663
1641	10115
3961	8810
2416	11099
981	7492
871	7545
4246	9769
3625	7520
2649	9642
3768	8666
3446	9936
2726	8484
1046	7488
352	9336
2376	8433
646	10592
570	10094
2124	7695
955	7718
1045	7529
1836	10772
3522	7487
4200	10885
549	7518
1915	10027
3329	7873
1518	9287
1679	7600
873	11058
4072	7682
3386	8509
2817	7550
3768	8509
914	7651
2248	10412
3939	9936
1376	7742
1292	9642
1416	7669
3387	9518
664	8099
934	8519
3879	7703
941	9335
328	7487
1468	7653
2351	7492
437	10592
3547	10095
3425	9334
240	7518
1194	9403
2736	9712
2107	8506
2843	9464
3858	9165
3405	7727
2362	8433
4252	7773
2676	8945
8	7512
1482	7837
3048	7505
224	7545
3446	9935
3017	8599
428	7509
941	9510
3065	7512
971	7807
664	9794
3013	9589
3048	7508
352	10095
663	11127
1287	9077
3547	10095
4121	9078
646	9519
2685	9713
1371	10711
3267	9589
2385	8852
3338	9936
3283	8099
4242	10534
1448	8358
3322	7579
4121	9078
4100	10095
1782	8917
1166	7889
1315	8666
1692	7836
3247	8541
4217	9517
664	8702
9	8852
1416	7668
2014	10412
981	7489
2280	9335
539	8490
246	7509
100	7796
231	8066
871	8904
15	7576
2294	7663
